GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0048518	positive regulation of biological process	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115,lcl|c223077_g2_i1|m.8858	
GO:0048519	negative regulation of biological process	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c237832_g1_i6|m.23803,lcl|c242001_g1_i2|m.29236	
GO:0048522	positive regulation of cellular process	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115,lcl|c223077_g2_i1|m.8858	
GO:0048523	negative regulation of cellular process	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c237832_g1_i6|m.23803,lcl|c242001_g1_i2|m.29236	
GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0045199	maintenance of epithelial cell apical/basal polarity	biological_process	1E0		lcl|c225394_g4_i2|m.10584	
GO:0001732	formation of cytoplasmic translation initiation complex	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c218820_g4_i2|m.5974	
GO:0009987	cellular process	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c241500_g1_i1|m.28663,lcl|c235743_g4_i1|m.21296,lcl|c221356_g3_i2|m.7588,lcl|c219556_g4_i5|m.6447,lcl|c238372_g5_i2|m.24429,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c236134_g1_i2|m.21741,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c234955_g3_i3|m.20445,lcl|c228038_g3_i1|m.12994,lcl|c244145_g1_i1|m.31801,lcl|c242193_g2_i1|m.29501,lcl|c233001_g2_i4|m.18006,lcl|c222929_g2_i3|m.8717,lcl|c238111_g1_i1|m.24102,lcl|c243149_g1_i2|m.30670,lcl|c243086_g4_i2|m.30593,lcl|c217573_g1_i1|m.5252,lcl|c227202_g1_i3|m.12234,lcl|c244151_g1_i2|m.31813,lcl|c218374_g1_i3|m.5753,lcl|c223247_g3_i6|m.8971,lcl|c224534_g1_i4|m.9895,lcl|c229060_g1_i1|m.13927,lcl|c243506_g1_i6|m.31041,lcl|c224289_g1_i1|m.9705,lcl|c238919_g4_i6|m.25079,lcl|c237215_g1_i1|m.23031,lcl|c226769_g3_i1|m.11767,lcl|c225618_g2_i6|m.10783,lcl|c220936_g1_i1|m.7247,lcl|c242894_g3_i1|m.30343,lcl|c223077_g2_i1|m.8858,lcl|c218119_g1_i3|m.5570,lcl|c210724_g2_i1|m.2253,lcl|c225931_g4_i1|m.11061,lcl|c216702_g5_i1|m.4730,lcl|c218703_g1_i4|m.5907,lcl|c220638_g5_i1|m.7054,lcl|c243554_g1_i5|m.31071,lcl|c218820_g4_i2|m.5974,lcl|c228448_g3_i1|m.13331,lcl|c221753_g3_i7|m.7844,lcl|c241148_g1_i6|m.28240,lcl|c231281_g6_i3|m.16097,lcl|c221482_g1_i3|m.7664,lcl|c231068_g6_i2|m.15939	
GO:0019941	modification-dependent protein catabolic process	biological_process	1E0		lcl|c216702_g5_i1|m.4730	
GO:0006396	RNA processing	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0006397	mRNA processing	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0006412	translation	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218703_g1_i4|m.5907,lcl|c218481_g4_i6|m.5811,lcl|c211022_g1_i7|m.2328,lcl|c218820_g4_i2|m.5974,lcl|c223077_g2_i1|m.8858	
GO:0006413	translational initiation	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218820_g4_i2|m.5974	
GO:0006414	translational elongation	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0006417	regulation of translation	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c223077_g2_i1|m.8858	
GO:0017148	negative regulation of translation	biological_process	1E0		lcl|c237832_g1_i6|m.23803	
GO:0044085	cellular component biogenesis	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c227202_g1_i3|m.12234,lcl|c218820_g4_i2|m.5974	
GO:0010033	response to organic substance	biological_process	1E0		lcl|c243554_g1_i5|m.31071	
GO:0044087	regulation of cellular component biogenesis	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0044089	positive regulation of cellular component biogenesis	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0044092	negative regulation of molecular function	biological_process	1E0		lcl|c242001_g1_i2|m.29236	
GO:0046364	monosaccharide biosynthetic process	biological_process	1E0		lcl|c236134_g1_i2|m.21741	
GO:1901135	carbohydrate derivative metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:1901137	carbohydrate derivative biosynthetic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0006446	regulation of translational initiation	biological_process	1E0		lcl|c237832_g1_i6|m.23803	
GO:0006448	regulation of translational elongation	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0006449	regulation of translational termination	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0006452	translational frameshifting	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0006458	'de novo' protein folding	biological_process	1E0		lcl|c243554_g1_i5|m.31071	
